CensusID,observer,comments,date,Location,region,latitude,longitude,category,species,N
1351,not recorded,,1/11/1968,ANML,ANML,,,adult_male,Ma,3
1351,not recorded,,1/11/1968,ANML,ANML,,,adult_female,Ma,0
